Project Geographic District ,Project Building Identifier,Project School Name,Project Type ,Project Description,Project Phase Name,Project Status Name,Project Phase Actual Start Date,Project Phase Planned End Date,Project Phase Actual End Date,Project Budget Amount,Final Estimate of Actual Costs Through End of Phase Amount,Total Phase Actual Spending Amount,DSF Number(s)
31,R008,P.S. 8 - STATEN ISLAND,DOE - RESOA,FY20 RESO A FLOORING,Construction,In-Progress,8/6/2021,DOER,,DOER,28970.00,0.00,DSF0000913121
31,R008,P.S. 8 - STATEN ISLAND,DOE - Skilled Trades,ACE STEAM SYSTEM OPTIMIZATION,Construction,In-Progress,7/18/2022,DOES,,DOES,111417.00,0.00,DSF0001034437
31,R010,P.S. 80 - STATEN ISLAND,DIIT - RESOA,FY24 RESO A TECHNOLOGY UPGRADE,Purch & Install,Complete,5/23/2024,DIIR,10/25/2024,DIIR,74716.00,74716.00,DSF0001086601
31,R010,P.S. 80 - STATEN ISLAND,DIIT - RESOA,FY25 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,75000.00,0.00,DSF0001113216
31,R010,P.S. 80 - STATEN ISLAND,DOE - RESOA,FY21 RESO A AUDITORIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,250000.00,0.00,DSF0000961466
31,R010,P.S. 80 - STATEN ISLAND,DOE - RESOA,FY25 RESO A ROOM CONVERSION: MEDIA CENTER,Construction,PNS,PNS,PNS,PNS,DOER,200000.00,0.00,DSF0001113217
31,R011,P.S. 11 - STATEN ISLAND,DIIT - RESOA,FY22 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,75000.00,0.00,DSF0001033965
31,R011,P.S. 11 - STATEN ISLAND,DIIT - RESOA,FY25 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,75000.00,0.00,DSF0001113218
31,R011,P.S. 11 - STATEN ISLAND,DOE - RESOA,FY20 RESO A ROOM CONVERSION,Construction,In-Progress,4/24/2023,DOER,,DOER,53693.00,0.00,DSF0000913464
31,R011,P.S. 11 - STATEN ISLAND,DOE - RESOA,FY24 RESO A CAFETERIA UPGRADE,Construction,In-Progress,2/29/2024,DOER,,DOER,8107.00,0.00,DSF0001086602
31,R013,P.S. 13 - STATEN ISLAND,SCA CIP,FLOOD ELIMINATION / ROOFS / PARAPETS / WINDOWS / EXTERIOR MASONRY / CHILLER REPLACEMENT,Scope,Complete,10/26/2018,3/18/2019,3/12/2019,178169,139959.00,92974.00,"DSF0000882218, DSF0000882219, DSF0000882220, DSF0000882221, DSF0000882222, DSF0001105502"
31,R013,P.S. 13 - STATEN ISLAND,SCA CIP,FLOOD ELIMINATION / ROOFS / PARAPETS / WINDOWS / EXTERIOR MASONRY / CHILLER REPLACEMENT,Design,Complete,3/12/2019,8/9/2019,5/17/2019,703945,727405.00,526401.00,"DSF0000882218, DSF0000882219, DSF0000882220, DSF0000882221, DSF0000882222, DSF0001105502"
31,R013,P.S. 13 - STATEN ISLAND,SCA CIP,FLOOD ELIMINATION / ROOFS / PARAPETS / WINDOWS / EXTERIOR MASONRY / CHILLER REPLACEMENT,Construction,In-Progress,7/19/2021,4/9/2023,,12414816,13079719.00,9865493.00,"DSF0000882218, DSF0000882219, DSF0000882220, DSF0000882221, DSF0000882222, DSF0001105502"
31,R013,P.S. 13 - STATEN ISLAND,SCA CIP,FLOOD ELIMINATION / ROOFS / PARAPETS / WINDOWS / EXTERIOR MASONRY / CHILLER REPLACEMENT,"CM,F&E",In-Progress,7/19/2021,4/9/2023,,945039,733534.00,648877.00,"DSF0000882218, DSF0000882219, DSF0000882220, DSF0000882221, DSF0000882222, DSF0001105502"
31,R013,P.S. 13 - STATEN ISLAND,SCA CIP RESOA,FY20 RESO A IPDVS CAMERA INSTALLATION,Scope,Complete,10/29/2024,3/4/2025,11/6/2024,0,3768.00,3768.00,DSF0000913465
31,R013,P.S. 13 - STATEN ISLAND,SCA CIP RESOA,FY20 RESO A IPDVS CAMERA INSTALLATION,Design,In-Progress,11/6/2024,5/6/2025,,33000,29232.00,15072.00,DSF0000913465
31,R013,P.S. 13 - STATEN ISLAND,SCA CIP RESOA,FY20 RESO A IPDVS CAMERA INSTALLATION,Construction,PNS,PNS,PNS,PNS,484000,484000.00,0.00,DSF0000913465
31,R013,P.S. 13 - STATEN ISLAND,SCA CIP RESOA,FY20 RESO A IPDVS CAMERA INSTALLATION,"CM,F&E",PNS,PNS,PNS,PNS,33000,33000.00,2300.00,DSF0000913465
31,R013,P.S. 13 - STATEN ISLAND,DIIT - RESOA,FY22 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,65000.00,0.00,DSF0001033966
31,R013,P.S. 13 - STATEN ISLAND,DOE - RESOA,FY18 RESO A AUDITORIUM  UPGRADE,Construction,In-Progress,12/31/2019,DOER,,DOER,75850.00,0.00,DSF0000866333
31,R013,P.S. 13 - STATEN ISLAND,DOE - RESOA,FY20 RESO A GYMNASIUM UPGRADE,Construction,In-Progress,6/5/2023,DOER,,DOER,261565.00,0.00,DSF0000913122
31,R013,P.S. 13 - STATEN ISLAND,DOE - RESOA,FY21 RESO A LIBRARY UPGRADE,Construction,In-Progress,10/7/2022,DOER,,DOER,305000.00,29800.00,DSF0000961478
31,R013,P.S. 13 - STATEN ISLAND,DOE - RESOA,FY22 RESO A SUPPLEMETAL COOLING,Construction,In-Progress,11/7/2023,DOER,,DOER,259028.00,0.00,DSF0001032968
31,R013,P.S. 13 - STATEN ISLAND,DOE - RESOA,FY25 RESO A SUPPLEMENTAL COOLING,Construction,PNS,PNS,PNS,PNS,DOER,250000.00,0.00,DSF0001113219
31,R013,P.S. 13 - STATEN ISLAND,DOE - Skilled Trades,CHILLER REPAIR,Construction,In-Progress,5/25/2023,DOES,,DOES,78336.00,17302.00,DSF0001112387
31,R014,P.S. 078 - STATEN ISLAND,SCA CIP,CERTIFICATE OF OCCUPANCY,Scope,Complete,3/6/2018,7/6/2018,8/15/2018,12340,11809.00,11809.00,DSF0000888890
31,R014,P.S. 078 - STATEN ISLAND,SCA CIP,CERTIFICATE OF OCCUPANCY,Design,Complete,12/6/2018,6/7/2019,5/17/2019,55530,107944.00,72115.00,DSF0000888890
31,R014,P.S. 078 - STATEN ISLAND,SCA CIP,CERTIFICATE OF OCCUPANCY,Construction,In-Progress,3/4/2024,1/27/2025,,715720,638923.00,307243.00,DSF0000888890
31,R014,P.S. 078 - STATEN ISLAND,SCA CIP,CERTIFICATE OF OCCUPANCY,"CM,F&E",In-Progress,3/4/2024,1/27/2025,,132655,95354.00,55562.00,DSF0000888890
31,R014,P.S. 078 - STATEN ISLAND,SCA CIP RESOA,FY21 RESO A PLAYGROUND UPGRADE / PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,Scope,Complete,6/11/2021,2/15/2022,3/11/2022,0,44162.00,38397.00,"DSF0000961448, DSF0001007726"
31,R014,P.S. 078 - STATEN ISLAND,SCA CIP RESOA,FY21 RESO A PLAYGROUND UPGRADE / PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,Design,Complete,3/14/2022,7/12/2022,8/2/2022,49054,76655.00,47622.00,"DSF0000961448, DSF0001007726"
31,R014,P.S. 078 - STATEN ISLAND,SCA CIP RESOA,FY21 RESO A PLAYGROUND UPGRADE / PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,Construction,Complete,11/3/2023,9/27/2024,10/23/2024,719457,667329.00,550647.00,"DSF0000961448, DSF0001007726"
31,R014,P.S. 078 - STATEN ISLAND,SCA CIP RESOA,FY21 RESO A PLAYGROUND UPGRADE / PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,"CM,F&E",Complete,11/3/2023,9/27/2024,10/23/2024,49054,71788.00,45611.00,"DSF0000961448, DSF0001007726"
31,R014,P.S. 078 - STATEN ISLAND,DIIT - RESOA,FY22 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,60000.00,0.00,DSF0001034008
31,R014,P.S. 078 - STATEN ISLAND,DOE - RESOA,FY24 RESO A ROOM CONVERSION,Construction,PNS,PNS,PNS,PNS,DOER,100000.00,0.00,DSF0001086603
31,R014,P.S. 078 - STATEN ISLAND,DOE - RESOA,FY25 RESO A ROOM CONVERSION,Construction,PNS,PNS,PNS,PNS,DOER,150000.00,0.00,DSF0001113220
31,R014,P.S. 078 - STATEN ISLAND,DOE - Skilled Trades,DEP/DOE WATER CONSERVATION FIXTURE RETROFIT PROGRAM,Construction,In-Progress,2/7/2022,DOES,,DOES,89306.00,0.00,DSF0001009194
31,R014,P.S. 078 - STATEN ISLAND,DOE - Skilled Trades,RTU REPLACEMENT,Construction,In-Progress,10/26/2023,DOES,,DOES,200125.00,0.00,DSF0001111812
31,R016,P.S. 16 - STATEN ISLAND,SCA Furniture & Equipment,FY20 RESO A MOBILE SCIENCE LABS,F&E,PNS,PNS,PNS,PNS,70000,70000.00,0.00,DSF0000914124
31,R016,FORT HILL COLLABORATIVE ELEMENTARY SCHOOL - R,SCA Furniture & Equipment,FY23 RESO A MOBILE SCIENCE LAB,F&E,Complete,11/13/2024,,12/20/2024,194000,194000.00,190301.00,DSF0001035249
31,R016,P.S. 16 - STATEN ISLAND,DOE - RESOA,FY22 RESO A SUPPLEMENTAL COOLING,Construction,In-Progress,11/6/2023,DOER,,DOER,280197.00,0.00,DSF0001034995
31,R016,P.S. 16 - STATEN ISLAND,DOE - RESOA,FY24 RESO A PA SYSTEM UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,300000.00,0.00,DSF0001086604
31,R016,P.S. 16 - STATEN ISLAND,DOE - RESOA,FY24 RESO A AUDITORIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,400000.00,0.00,DSF0001086605
31,R016,P.S. 16 - STATEN ISLAND,DOE - RESOA,FY25 RESO A SUPPLEMENTAL COOLING,Construction,PNS,PNS,PNS,PNS,DOER,584000.00,0.00,DSF0001113221
31,R016,P.S. 16 - STATEN ISLAND,DOE - Skilled Trades,ACE STEAM SYSTEM OPTIMIZATION,Construction,In-Progress,7/14/2022,DOES,,DOES,193747.00,0.00,DSF0001034438
31,R018,P.S. 18 - STATEN ISLAND,SCA CIP,ROOFS / FLOOD ELIMINATION / EXTERIOR MASONRY,Scope,Complete,6/13/2019,10/29/2019,7/6/2021,36449,137674.00,129759.00,"DSF0000905128, DSF0000999893, DSF0000999896"
31,R018,P.S. 18 - STATEN ISLAND,SCA CIP,ROOFS / FLOOD ELIMINATION / EXTERIOR MASONRY,Design,Complete,8/25/2021,1/31/2022,2/3/2022,180225,296909.00,271103.00,"DSF0000905128, DSF0000999893, DSF0000999896"
31,R018,P.S. 18 - STATEN ISLAND,SCA CIP,ROOFS / FLOOD ELIMINATION / EXTERIOR MASONRY,Construction,Complete,7/18/2022,1/8/2024,8/14/2024,3879953,3661941.00,3657911.00,"DSF0000905128, DSF0000999893, DSF0000999896"
31,R018,P.S. 18 - STATEN ISLAND,SCA CIP,ROOFS / FLOOD ELIMINATION / EXTERIOR MASONRY,"CM,F&E",Complete,7/18/2022,1/8/2024,8/14/2024,270330,678475.00,671263.00,"DSF0000905128, DSF0000999893, DSF0000999896"
31,R018,P.S. 18 - STATEN ISLAND,SCA IEH,"PO18-ASSIST STEAMFITTERS: IN THE VESTIBULE OF EXIT 3, REMOVE ACMON THE BACK OF THE HEAT SHIELD AND S",Construction,Complete,11/12/2024,IEH,12/10/2024,IEH,0.00,0.00,SCA0000073600
31,R018,P.S. 18 - STATEN ISLAND,DIIT - RESOA,FY25 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,200000.00,0.00,DSF0001113223
31,R018,P.S. 18 - STATEN ISLAND,DOE - RESOA,FY23 RESO A CAFETERIA UPGRADE,Construction,Complete,7/5/2023,DOER,8/14/2023,DOER,63494.00,,DSF0001035346
31,R018,P.S. 18 - STATEN ISLAND,DOE - RESOA,FY25 RESO A AUDITORIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,250000.00,0.00,DSF0001113222
31,R019,P.S. 19 - STATEN ISLAND,SCA Capacity,ADDITION,Scope,Complete,11/20/2023,6/10/2024,5/6/2024,1219599,931402.00,849556.00,DSF0000911850
31,R019,P.S. 19 - STATEN ISLAND,SCA Capacity,ADDITION,Design,In-Progress,5/7/2024,11/20/2024,,4878398,4878398.00,745274.00,DSF0000911850
31,R019,P.S. 19 - STATEN ISLAND,SCA Capacity,ADDITION,Construction,PNS,PNS,PNS,PNS,67382868,67382868.00,341403.00,DSF0000911850
31,R019,P.S. 19 - STATEN ISLAND,SCA Capacity,ADDITION,"CM,Art,F&E",PNS,PNS,PNS,PNS,8842096,8842096.00,685416.00,DSF0000911850
31,R019,P.S. 19 - STATEN ISLAND,SCA CIP,EXISTING BUILDING - ELECTRICAL SYSTEMS UPGRADE / EXISTING BUILDING - IPDVS UPGRADE / EXISTING BUILDING - FIRE ALARM UPGRADE,Scope,Complete,2/13/2024,6/13/2024,5/15/2024,20301,5067.00,0.00,"DSF0000911850, DSF0000911850, DSF0000911850"
31,R019,P.S. 19 - STATEN ISLAND,SCA CIP,EXISTING BUILDING - ELECTRICAL SYSTEMS UPGRADE / EXISTING BUILDING - IPDVS UPGRADE / EXISTING BUILDING - FIRE ALARM UPGRADE,Design,In-Progress,5/15/2024,11/19/2024,,91357,91357.00,0.00,"DSF0000911850, DSF0000911850, DSF0000911850"
31,R019,P.S. 19 - STATEN ISLAND,SCA CIP,EXISTING BUILDING - ELECTRICAL SYSTEMS UPGRADE / EXISTING BUILDING - IPDVS UPGRADE / EXISTING BUILDING - FIRE ALARM UPGRADE,Construction,PNS,PNS,PNS,PNS,1177487,1177487.00,5791.00,"DSF0000911850, DSF0000911850, DSF0000911850"
31,R019,P.S. 19 - STATEN ISLAND,SCA CIP,EXISTING BUILDING - ELECTRICAL SYSTEMS UPGRADE / EXISTING BUILDING - IPDVS UPGRADE / EXISTING BUILDING - FIRE ALARM UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,218241,218241.00,8881.00,"DSF0000911850, DSF0000911850, DSF0000911850"
31,R019,P.S. 19 - STATEN ISLAND,SCA CIP,EXISTING BUILDING-INTERIOR RENOVATION,Scope,In-Progress,12/30/2024,4/30/2025,,21636,21636.00,0.00,DSF0000911850
31,R019,P.S. 19 - STATEN ISLAND,SCA CIP,EXISTING BUILDING-INTERIOR RENOVATION,Design,PNS,PNS,PNS,PNS,100966,100966.00,0.00,DSF0000911850
31,R019,P.S. 19 - STATEN ISLAND,SCA CIP,EXISTING BUILDING-INTERIOR RENOVATION,Construction,PNS,PNS,PNS,PNS,1601028,1601028.00,0.00,DSF0000911850
31,R019,P.S. 19 - STATEN ISLAND,SCA CIP,EXISTING BUILDING-INTERIOR RENOVATION,"CM,F&E",PNS,PNS,PNS,PNS,158660,158660.00,0.00,DSF0000911850
31,R019,P.S. 19 - STATEN ISLAND,SCA CIP,DEMOLITION,Scope,Complete,11/30/2023,11/30/2023,11/30/2023,31031,2830.00,2830.00,DSF0000911850
31,R019,P.S. 19 - STATEN ISLAND,SCA CIP,DEMOLITION,Design,Complete,12/1/2023,3/22/2024,4/15/2024,144813,234239.00,94531.00,DSF0000911850
31,R019,P.S. 19 - STATEN ISLAND,SCA CIP,DEMOLITION,Construction,In-Progress,8/27/2024,8/26/2025,,2296313,2169283.00,149186.00,DSF0000911850
31,R019,P.S. 19 - STATEN ISLAND,SCA CIP,DEMOLITION,"CM,F&E",In-Progress,8/27/2024,8/26/2025,,227563,252387.00,240236.00,DSF0000911850
31,R019,P.S. 19 - STATEN ISLAND,DIIT - RESOA,FY25 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,195000.00,0.00,DSF0001113224
31,R019,P.S. 19 - STATEN ISLAND,DOE - RESOA,FY23 RESO A BATHROOM UPGRADES,Construction,In-Progress,9/16/2024,DOER,,DOER,115563.00,0.00,DSF0001035250
31,R019,P.S. 19 - STATEN ISLAND,DOE - Skilled Trades,BATHROOM UPGRADES,Construction,In-Progress,7/22/2022,DOES,,DOES,133457.00,0.00,DSF0001034265
31,R020,P.S. 20 - STATEN ISLAND,SCA CIP,ROOFS / EXTERIOR MASONRY / PARAPETS,Scope,Complete,1/26/2024,6/11/2024,7/3/2024,60520,67896.00,66079.00,"DSF0001077627, DSF0001105588, DSF0001105587"
31,R020,P.S. 20 - STATEN ISLAND,SCA CIP,ROOFS / EXTERIOR MASONRY / PARAPETS,Design,In-Progress,7/9/2024,12/10/2024,,282428,282428.00,18843.00,"DSF0001077627, DSF0001105588, DSF0001105587"
31,R020,P.S. 20 - STATEN ISLAND,SCA CIP,ROOFS / EXTERIOR MASONRY / PARAPETS,Construction,PNS,PNS,PNS,PNS,4478500,4478500.00,17413.00,"DSF0001077627, DSF0001105588, DSF0001105587"
31,R020,P.S. 20 - STATEN ISLAND,SCA CIP,ROOFS / EXTERIOR MASONRY / PARAPETS,"CM,F&E",PNS,PNS,PNS,PNS,443815,443815.00,86194.00,"DSF0001077627, DSF0001105588, DSF0001105587"
31,R020,P.S. 20 - STATEN ISLAND,SCA Furniture & Equipment,FY25 RESO A MOBILE SCIENCE LABS,F&E,PNS,PNS,PNS,PNS,383000,383000.00,0.00,DSF0001113225
31,R020,P.S. 20 - STATEN ISLAND,DIIT - RESOA,FY24 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,193000.00,0.00,DSF0001086606
31,R020,P.S. 20 - STATEN ISLAND,DOE - RESOA,FY23 RESO A AUDITORIUM UPGRADE,Construction,Complete,7/18/2023,DOER,8/28/2023,DOER,256052.00,22320.00,DSF0001035251
31,R020,P.S. 20 - STATEN ISLAND,DOE - Skilled Trades,DEP/DOE WATER CONSERVATION FIXTURE RETROFIT PROGRAM,Construction,In-Progress,8/25/2021,DOES,,DOES,67976.00,0.00,DSF0001009086
31,R020,P.S. 20 - STATEN ISLAND,DOE - Skilled Trades,ACE STEAM SYSTEM OPTIMIZATION,Construction,In-Progress,7/13/2022,DOES,,DOES,56455.00,0.00,DSF0001034439
31,R021,P.S. 21 - STATEN ISLAND,SCA CIP,ROOFS / EXTERIOR MASONRY / PARAPETS,Scope,Complete,1/26/2024,6/11/2024,11/13/2024,138180,132612.00,23269.00,"DSF0001077646, DSF0001133318, DSF0001133317"
31,R021,P.S. 21 - STATEN ISLAND,SCA CIP,ROOFS / EXTERIOR MASONRY / PARAPETS,Design,PNS,PNS,PNS,PNS,646089,646089.00,8359.00,"DSF0001077646, DSF0001133318, DSF0001133317"
31,R021,P.S. 21 - STATEN ISLAND,SCA CIP,ROOFS / EXTERIOR MASONRY / PARAPETS,Construction,PNS,PNS,PNS,PNS,11521289,11521289.00,23951.00,"DSF0001077646, DSF0001133318, DSF0001133317"
31,R021,P.S. 21 - STATEN ISLAND,SCA CIP,ROOFS / EXTERIOR MASONRY / PARAPETS,"CM,F&E",PNS,PNS,PNS,PNS,1140561,1140561.00,19973.00,"DSF0001077646, DSF0001133318, DSF0001133317"
31,R021,P.S. 21 - STATEN ISLAND,DOE - RESOA,FY19 RESO A ROOM CONVERSIONS/PARTITIONING,Construction,In-Progress,11/1/2021,DOER,,DOER,128355.00,0.00,DSF0000890700
31,R021,P.S. 21 - STATEN ISLAND,DOE - RESOA,FY24 RESO A LIBRARY UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,1150000.00,0.00,DSF0001086607
31,R021,P.S. 21 - STATEN ISLAND,DOE - Skilled Trades,SCHOOL ENTRY LOCKING AND EMERGENCY NOTIFICATION SOLUTION,Construction,Complete,7/16/2024,DOES,8/20/2024,DOES,65832.00,11210.00,DSF0001084433
31,R022,P.S. 22 - STATEN ISLAND,SCA CIP,FLOOD ELIMINATION / ROOFS / PARAPETS / EXTERIOR MASONRY,Scope,Complete,8/8/2019,12/26/2019,3/13/2020,100062,287191.00,260685.00,"DSF0000905200, DSF0000905202, DSF0000905203, DSF0000905204"
31,R022,P.S. 22 - STATEN ISLAND,SCA CIP,FLOOD ELIMINATION / ROOFS / PARAPETS / EXTERIOR MASONRY,Design,Complete,3/13/2020,8/12/2020,6/30/2020,499671,689473.00,559681.00,"DSF0000905200, DSF0000905202, DSF0000905203, DSF0000905204"
31,R022,P.S. 22 - STATEN ISLAND,SCA CIP,FLOOD ELIMINATION / ROOFS / PARAPETS / EXTERIOR MASONRY,Construction,In-Progress,8/23/2021,5/14/2023,,11186958,13472876.00,8095560.00,"DSF0000905200, DSF0000905202, DSF0000905203, DSF0000905204"
31,R022,P.S. 22 - STATEN ISLAND,SCA CIP,FLOOD ELIMINATION / ROOFS / PARAPETS / EXTERIOR MASONRY,"CM,F&E",In-Progress,8/23/2021,5/14/2023,,705791,1166932.00,1092373.00,"DSF0000905200, DSF0000905202, DSF0000905203, DSF0000905204"
31,R022,P.S. 22 - STATEN ISLAND,SCA CIP RESOA,FY23 RESO A AUDITORIUM UPGRADE / PATH OF TRAVEL RESO A AUDITORIUM UPGRADE,Scope,Complete,3/17/2023,2/14/2024,1/31/2024,0,28374.00,28374.00,"DSF0001036109, DSF0001036112"
31,R022,P.S. 22 - STATEN ISLAND,SCA CIP RESOA,FY23 RESO A AUDITORIUM UPGRADE / PATH OF TRAVEL RESO A AUDITORIUM UPGRADE,Design,Complete,2/1/2024,6/4/2024,4/25/2024,60000,56755.00,43151.00,"DSF0001036109, DSF0001036112"
31,R022,P.S. 22 - STATEN ISLAND,SCA CIP RESOA,FY23 RESO A AUDITORIUM UPGRADE / PATH OF TRAVEL RESO A AUDITORIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,880000,880000.00,4152.00,"DSF0001036109, DSF0001036112"
31,R022,P.S. 22 - STATEN ISLAND,SCA CIP RESOA,FY23 RESO A AUDITORIUM UPGRADE / PATH OF TRAVEL RESO A AUDITORIUM UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,60000,60000.00,18924.00,"DSF0001036109, DSF0001036112"
31,R022,P.S. 22 - STATEN ISLAND,DIIT - RESOA,FY23 RESO A TECHNOLOGY UPGRADE,Purch & Install,Complete,2/3/2024,DIIR,10/22/2024,DIIR,80000.00,80000.00,DSF0001035253
31,R022,P.S. 22 - STATEN ISLAND,DOE - RESOA,FY23 RESO A ROOM CONVERSION,Construction,PNS,PNS,PNS,PNS,DOER,350000.00,0.00,DSF0001036110
31,R022,P.S. 22 - STATEN ISLAND,DOE - RESOA,FY23 RESO A ELECTRICAL UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,29745.00,0.00,DSF0001036111
31,R022,P.S. 22 - STATEN ISLAND,DOE - Skilled Trades,ACE STEAM SYSTEM OPTIMIZATION,Construction,In-Progress,9/30/2022,DOES,,DOES,135451.00,0.00,DSF0001034440
31,R023,P.S. 23 - STATEN ISLAND,SCA CIP RESOA,FY23 RESO A GYMNASIUM UPGRADE / PATH OF TRAVEL RESO A GYMNASIUM UPGRADE,Scope,Complete,1/26/2023,11/30/2023,10/19/2023,0,32869.00,32806.00,"DSF0001036113, DSF0001036114"
31,R023,P.S. 23 - STATEN ISLAND,SCA CIP RESOA,FY23 RESO A GYMNASIUM UPGRADE / PATH OF TRAVEL RESO A GYMNASIUM UPGRADE,Design,Complete,10/20/2023,2/23/2024,4/18/2024,31025,70936.00,51912.00,"DSF0001036113, DSF0001036114"
31,R023,P.S. 23 - STATEN ISLAND,SCA CIP RESOA,FY23 RESO A GYMNASIUM UPGRADE / PATH OF TRAVEL RESO A GYMNASIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,455034,455034.00,8724.00,"DSF0001036113, DSF0001036114"
31,R023,P.S. 23 - STATEN ISLAND,SCA CIP RESOA,FY23 RESO A GYMNASIUM UPGRADE / PATH OF TRAVEL RESO A GYMNASIUM UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,31025,44529.00,13113.00,"DSF0001036113, DSF0001036114"
31,R023,P.S. 23 - STATEN ISLAND,Fast Track Projects,LSP SIDEWALK REPLACEMENT,Construction,In-Progress,4/12/2024,FTK,,FTK,184105.00,174650.00,DSF0001105651
31,R023,P.S. 23 - STATEN ISLAND,DIIT - RESOA,FY24 RESO A TECHNOLOGY UPGRADE,Purch & Install,Complete,5/2/2024,DIIR,7/11/2024,DIIR,75000.00,71490.00,DSF0001086609
31,R023,P.S. 23 - STATEN ISLAND,DIIT - RESOA,FY25 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,75000.00,0.00,DSF0001113226
31,R023,P.S. 23 - STATEN ISLAND,DOE - RESOA,FY21 RESO A BATHROOM UPGRADES,Construction,In-Progress,11/5/2021,DOER,,DOER,261228.00,0.00,DSF0000961481
31,R023,P.S. 23 - STATEN ISLAND,DOE - RESOA,FY21 RESO A BATHROOM UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,57101.00,0.00,DSF0001008373
31,R023,P.S. 23 - STATEN ISLAND,DOE - RESOA,FY24 RESO A AUDITORIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,150000.00,0.00,DSF0001086608
31,R023,P.S. 23 - STATEN ISLAND,DOE - Skilled Trades,SCHOOL ENTRY LOCKING AND EMERGENCY NOTIFICATION SOLUTION,Construction,Complete,3/6/2024,DOES,7/18/2024,DOES,65832.00,28764.00,DSF0001084435
31,R024,I.S. 24 - STATEN ISLAND,SCA CIP,FLOOD ELIMINATION / GYM ROOF,Scope,Complete,4/20/2021,9/2/2021,12/15/2021,30364,30549.00,30549.00,"DSF0000950974, DSF0001026961"
31,R024,I.S. 24 - STATEN ISLAND,SCA CIP,FLOOD ELIMINATION / GYM ROOF,Design,Complete,12/27/2021,5/27/2022,11/1/2022,146362,180237.00,135277.00,"DSF0000950974, DSF0001026961"
31,R024,I.S. 24 - STATEN ISLAND,SCA CIP,FLOOD ELIMINATION / GYM ROOF,Construction,In-Progress,7/24/2023,10/15/2024,,2820920,2596856.00,1849080.00,"DSF0000950974, DSF0001026961"
31,R024,I.S. 24 - STATEN ISLAND,SCA CIP,FLOOD ELIMINATION / GYM ROOF,"CM,F&E",In-Progress,7/24/2023,10/15/2024,,253493,225407.00,223018.00,"DSF0000950974, DSF0001026961"
31,R024,I.S. 24 - STATEN ISLAND,DIIT - RESOA,FY25 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,150000.00,0.00,DSF0001113227
31,R024,I.S. 24 - STATEN ISLAND,DOE - RESOA,FY20 RESO A ELECTRICAL UPGRADE,Construction,In-Progress,3/16/2021,DOER,,DOER,8238.00,0.00,DSF0000913127
31,R024,R721 SPED - STATEN ISLAND,DOE - RESOA,FY20 RESO A AUDITORIUM UPGRADE,Construction,Complete,10/14/2022,DOER,5/25/2023,DOER,80351.00,,DSF0000913128
31,R024,I.S. 24 - STATEN ISLAND,DOE - RESOA,FY22 RESO A BATHROOM UPGRADES,Construction,In-Progress,1/13/2023,DOER,,DOER,403334.00,0.00,DSF0001033970
31,R024,I.S. 24 - STATEN ISLAND,DOE - RESOA,FY23 RESO A STEM LAB,Construction,PNS,PNS,PNS,PNS,DOER,400000.00,0.00,DSF0001036115
31,R024,I.S. 24 - STATEN ISLAND,DOE - RESOA,FY24 RESO A SCIENCE LAB UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,485000.00,0.00,DSF0001086611
31,R024,I.S. 24 - STATEN ISLAND,DOE - RESOA,FY25 RESO A ROOM CONVERSION,Construction,PNS,PNS,PNS,PNS,DOER,200000.00,0.00,DSF0001113228
